"Town(s)","College(s)","Town Link(s)","College Link(s)"
"Avondale","Universal Technical Institute","","https://en.wikipedia.org/wiki/Universal_Technical_Institute"
"Bayamón","Universidad Central Del Caribe","","https://en.wikipedia.org/wiki/Universidad_Central_del_Caribe"
"Pamplona","Universidad De Pamplona","https://en.wikipedia.org/wiki/Pamplona,_Colombia","https://en.wikipedia.org/wiki/Universidad_de_Pamplona"
"Las Aguas","Universidad Del Rosario","https://en.wikipedia.org/wiki/Las_Aguas_(TransMilenio)","https://en.wikipedia.org/wiki/The_Andes_University"
"Las Aguas","Universidad Externado De Colombia","https://en.wikipedia.org/wiki/Las_Aguas_(TransMilenio)","https://en.wikipedia.org/wiki/The_Andes_University"
"Covilhã","Universidade Da Beira Interior","https://en.wikipedia.org/wiki/Covilh%C3%A3","https://en.wikipedia.org/wiki/Universidade_da_Beira_Interior"
"Aveiro","Universidade De Aveiro","https://en.wikipedia.org/wiki/Aveiro,_Portugal","https://en.wikipedia.org/wiki/Universidade_de_Aveiro"
"Coimbra","Universidade De Coimbra","https://en.wikipedia.org/wiki/Coimbra","https://en.wikipedia.org/wiki/Universidade_de_Coimbra"
"Évora","Universidade De Évora","https://en.wikipedia.org/wiki/%C3%89vora","https://en.wikipedia.org/wiki/Universidade_de_%C3%89vora"
"Bandung","Universitas Islam Bandung","https://en.wikipedia.org/wiki/Bandung","https://en.wikipedia.org/wiki/Bandung_Institute_of_Technology"
"Sepanggar","Universiti Malaysia Sabah","https://en.wikipedia.org/wiki/Sepanggar","https://en.wikipedia.org/wiki/Universiti_Malaysia_Sabah"
"Kota Samarahan","Universiti Malaysia Sarawak","https://en.wikipedia.org/wiki/Kota_Samarahan","https://en.wikipedia.org/wiki/Universiti_Malaysia_Sarawak"
"Skudai","Universiti Teknologi Malaysia","https://en.wikipedia.org/wiki/Skudai","https://en.wikipedia.org/wiki/Universiti_Teknologi_Malaysia"
"Kota Samarahan","Universiti Teknologi Mara","https://en.wikipedia.org/wiki/Kota_Samarahan","https://en.wikipedia.org/wiki/Universiti_Malaysia_Sarawak"
"Kampar, Perak","Universiti Tunku Abdul Rahman","https://en.wikipedia.org/wiki/Kampar,_Perak","https://en.wikipedia.org/wiki/Universiti_Tunku_Abdul_Rahman"
"Kubang Pasu","Universiti Utara Malaysia","https://en.wikipedia.org/wiki/Kubang_Pasu_District","https://en.wikipedia.org/wiki/Universiti_Utara_Malaysia"
"Caribbean Maritime University International University of the Caribbean Mico University College Northern Caribbean University University of the Commonwealth Caribbean University of Technology University of the West Indies","Universities","",""
"Rockville","Universities At Shady Grove","","https://en.wikipedia.org/wiki/Universities_at_Shady_Grove"
"Albany","University At Albany","","https://en.wikipedia.org/wiki/University_at_Albany,_SUNY"
"Havidan Rodriguez , President","University At Albany, Suny","","https://en.wikipedia.org/wiki/University_at_Albany,_SUNY"
"Satish K. Tripathi , President","University At Buffalo","","https://en.wikipedia.org/wiki/University_at_Buffalo"
"Manila","University Belt","https://en.wikipedia.org/wiki/Manila","https://en.wikipedia.org/wiki/University_Belt"
"Vancouver","University Canada West","","https://en.wikipedia.org/wiki/University_Canada_West"
"Albany Binghamton Ceramics at Alfred Cornell Agriculture and Life Sciences Human Ecology Industrial and Labor Relations Veterinary Medicine Downstate Medical (Brooklyn) Environmental Science and Forestry (Syracuse) Optometry (Manhattan) Polytechnic Institute (Albany, Utica) Upstate Medical (Syracuse)","University Centers","",""
"Cork","University College Cork","https://en.wikipedia.org/wiki/Cork_(city)","https://en.wikipedia.org/wiki/University_College_Cork"
"Sar","University College Of Bahrain","https://en.wikipedia.org/wiki/Sar,_Bahrain","https://en.wikipedia.org/wiki/British_University_of_Bahrain"
"Gävle","University College Of Gävle","https://en.wikipedia.org/wiki/G%C3%A4vle","https://en.wikipedia.org/wiki/University_College_of_G%C3%A4vle"
"The Pas , Thompson","University College Of The North","","https://en.wikipedia.org/wiki/University_College_of_the_North"
"Brockport Buffalo State Cortland Empire State (multi-site) Fredonia Geneseo New Paltz Old Westbury Oneonta Oswego Plattsburgh Potsdam Purchase","University Colleges","",""
"Krems an der Donau","University For Continuing Education Krems","https://en.wikipedia.org/wiki/Krems_an_der_Donau","https://en.wikipedia.org/wiki/University_for_Continuing_Education_Krems"
"Managua , Somoto , Chinandega , Rivas , Bluefields","University Of Administration, Commerce And Customs Universidad De Administración, Comercio Y Aduana","",""
"Tempe","University Of Advancing Technology","","https://en.wikipedia.org/wiki/University_of_Advancing_Technology"
"Akron","University Of Akron","https://en.wikipedia.org/wiki/Akron,_Ohio","https://en.wikipedia.org/wiki/University_of_Akron"
"Akron","University Of Akron Main Campus","",""
"Orrville","University Of Akron Wayne College","","https://en.wikipedia.org/wiki/Wayne_College"
"Akureyri","University Of Akureyri","https://en.wikipedia.org/wiki/Akureyri","https://en.wikipedia.org/wiki/University_of_Akureyri"
"Tuscaloosa","University Of Alabama","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama","https://en.wikipedia.org/wiki/University_of_Alabama"
"Birmingham","University Of Alabama At Birmingham","","https://en.wikipedia.org/wiki/University_of_Alabama_School_of_Medicine"
"Ray L. Watts , President","University Of Alabama At Birmingham (Uab)","",""
"Huntsville","University Of Alabama In Huntsville","","https://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville"
"Robert Altenkirch , President","University Of Alabama In Huntsville (Uah)","",""
"C. Ray Hayes, Chancellor University of Alabama – Stuart R. Bell , President University of Alabama at Birmingham (UAB) – Ray L. Watts , President University of Alabama in Huntsville (UAH) – Robert Altenkirch , President","University Of Alabama System","","https://en.wikipedia.org/wiki/University_of_Alabama_System"
"Huntsville","University Of Alabama, Huntsville","","https://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville"
"James R. Johnsen, President University of Alaska Anchorage – Sam Gingerich, Interim Chancellor University of Alaska Fairbanks – Daniel M. White, Chancellor University of Alaska Southeast – Rick Caulfield , Chancellor","University Of Alaska","","https://en.wikipedia.org/wiki/University_of_Alaska"
"Anchorage","University Of Alaska Anchorage","","https://en.wikipedia.org/wiki/University_of_Alaska_Anchorage"
"Fairbanks","University Of Alaska Fairbanks","","https://en.wikipedia.org/wiki/University_of_Alaska_Fairbanks"
"Juneau","University Of Alaska Southeast","","https://en.wikipedia.org/wiki/University_of_Alaska_Southeast"
"Fairbanks","University Of Alaska, Fairbanks","https://en.wikipedia.org/wiki/Fairbanks,_Alaska","https://en.wikipedia.org/wiki/University_of_Alaska,_Fairbanks"
"Edmonton , Camrose , Calgary","University Of Alberta","","https://en.wikipedia.org/wiki/University_of_Alberta"
"Albuquerque, New Mexico","University Of Albuquerque","","https://en.wikipedia.org/wiki/University_of_Albuquerque"
"Alcalá de Henares","University Of Alcalá","https://en.wikipedia.org/wiki/Alcal%C3%A1_de_Henares","https://en.wikipedia.org/wiki/University_of_Alcal%C3%A1"
"Lancaster","University Of Antelope Valley","","https://en.wikipedia.org/wiki/University_of_Antelope_Valley"
"Kufstein","University Of Applied Sciences Kufstein","https://en.wikipedia.org/wiki/Kufstein","https://en.wikipedia.org/wiki/University_of_Applied_Sciences_Kufstein"
"Tucson","University Of Arizona","","https://en.wikipedia.org/wiki/University_of_Arizona"
"Fayetteville","University Of Arkansas","https://en.wikipedia.org/wiki/Fayetteville,_Arkansas","https://en.wikipedia.org/wiki/University_of_Arkansas"
"Little Rock","University Of Arkansas At Little Rock","","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Little_Rock"
"Monticello","University Of Arkansas At Monticello","https://en.wikipedia.org/wiki/Monticello,_Arkansas","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Monticello"
"Pine Bluff","University Of Arkansas At Pine Bluff","","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Pine_Bluff"
"Batesville","University Of Arkansas Community College At Batesville","","https://en.wikipedia.org/wiki/University_of_Arkansas_Community_College_at_Batesville"
"Hope","University Of Arkansas Community College At Hope","","https://en.wikipedia.org/wiki/University_of_Arkansas_Community_College_at_Hope"
"Morrilton","University Of Arkansas Community College At Morrilton","","https://en.wikipedia.org/wiki/University_of_Arkansas_Community_College_at_Morrilton"
"Little Rock","University Of Arkansas For Medical Sciences","","https://en.wikipedia.org/wiki/University_of_Arkansas_for_Medical_Sciences"
"Online Campus","University Of Arkansas Grantham","","https://en.wikipedia.org/wiki/University_of_Arkansas_Grantham"
"Mena","University Of Arkansas Rich Mountain","","https://en.wikipedia.org/wiki/University_of_Arkansas_Rich_Mountain"
"Donald R. Bobbitt, President University of Arkansas – Joseph Steinmetz, Chancellor University of Arkansas at Pine Bluff – Laurence B. Alexander, Chancellor","University Of Arkansas System","","https://en.wikipedia.org/wiki/University_of_Arkansas_System"
"North Little Rock","University Of Arkansas – Pulaski Technical College","","https://en.wikipedia.org/wiki/University_of_Arkansas_%E2%80%93_Pulaski_Technical_College"
"Fort Smith","University Of Arkansas–Fort Smith","","https://en.wikipedia.org/wiki/University_of_Arkansas%E2%80%93Fort_Smith"
"Linz","University Of Art And Design Linz","https://en.wikipedia.org/wiki/Linz","https://en.wikipedia.org/wiki/Anton_Bruckner_Private_University"
"Baguio","University Of Baguio","https://en.wikipedia.org/wiki/Baguio","https://en.wikipedia.org/wiki/University_of_the_Philippines_Baguio"
"Isa Town","University Of Bahrain","https://en.wikipedia.org/wiki/Isa_Town","https://en.wikipedia.org/wiki/University_of_Bahrain"
"Baltimore","University Of Baltimore","","https://en.wikipedia.org/wiki/University_of_Baltimore"
"Bamberg","University Of Bamberg","https://en.wikipedia.org/wiki/Bamberg","https://en.wikipedia.org/wiki/University_of_Bamberg"
"Potenza","University Of Basilicata","https://en.wikipedia.org/wiki/Potenza","https://en.wikipedia.org/wiki/University_of_Basilicata"
"Bayreuth","University Of Bayreuth","https://en.wikipedia.org/wiki/Bayreuth","https://en.wikipedia.org/wiki/University_of_Bayreuth"
"Bergamo","University Of Bergamo","https://en.wikipedia.org/wiki/Bergamo","https://en.wikipedia.org/wiki/University_of_Bergamo"
"Beverly Hills","University Of Beverly Hills","","https://en.wikipedia.org/wiki/University_of_Beverly_Hills"
"Białystok","University Of Białystok","https://en.wikipedia.org/wiki/Bia%C5%82ystok","https://en.wikipedia.org/wiki/University_of_Bia%C5%82ystok"
"Bielefeld","University Of Bielefeld","https://en.wikipedia.org/wiki/Bielefeld","https://en.wikipedia.org/wiki/University_of_Bielefeld"
"Bologna","University Of Bologna","https://en.wikipedia.org/wiki/Bologna","https://en.wikipedia.org/wiki/University_of_Bologna"
"Bonn","University Of Bonn","https://en.wikipedia.org/wiki/Bonn","https://en.wikipedia.org/wiki/University_of_Bonn"
"Bremen","University Of Bremen","https://en.wikipedia.org/wiki/Bremen","https://en.wikipedia.org/wiki/University_of_Bremen"
"Bridgeport","University Of Bridgeport","https://en.wikipedia.org/wiki/Bridgeport,_Connecticut","https://en.wikipedia.org/wiki/University_of_Bridgeport"
"Vancouver , Kelowna","University Of British Columbia","","https://en.wikipedia.org/wiki/University_of_British_Columbia"
"Calgary , Edmonton","University Of Calgary","","https://en.wikipedia.org/wiki/University_of_Calgary"
"Michael V. Drake , President University of California, Berkeley – Carol T. Christ , Chancellor University of California, Davis – Gary S. May , Chancellor University of California, Irvine – Howard Gillman, Chancellor University of California, Los Angeles – Gene D. Block , Chancellor University of California, Merced – Dorothy Leland , Chancellor University of California, Riverside – Kim A. Wilcox , Chancellor University of California, San Diego – Pradeep Khosla , Chancellor University of California, San Francisco – Sam Hawgood , Chancellor University of California, Santa Barbara – Henry T. Yang , Chancellor University of California, Santa Cruz – George R. Blumenthal , Chancellor","University Of California","","https://en.wikipedia.org/wiki/University_of_California"
"San Francisco","University Of California College Of The Law, San Francisco","","https://en.wikipedia.org/wiki/University_of_California,_Hastings_College_of_the_Law"
"Berkeley","University Of California, Berkeley","https://en.wikipedia.org/wiki/Berkeley,_California","https://en.wikipedia.org/wiki/University_of_California,_Berkeley"
"Davis","University Of California, Davis","https://en.wikipedia.org/wiki/Davis,_California","https://en.wikipedia.org/wiki/University_of_California,_Davis"
"Irvine","University Of California, Irvine","https://en.wikipedia.org/wiki/Irvine,_California","https://en.wikipedia.org/wiki/University_of_California,_Irvine"
"Los Angeles","University Of California, Los Angeles","","https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles"
"Merced","University Of California, Merced","","https://en.wikipedia.org/wiki/University_of_California,_Merced"
"Riverside","University Of California, Riverside","https://en.wikipedia.org/wiki/Riverside,_California","https://en.wikipedia.org/wiki/University_of_California,_Riverside"
"San Diego","University Of California, San Diego","","https://en.wikipedia.org/wiki/University_of_California,_San_Diego"
"San Francisco","University Of California, San Francisco","","https://en.wikipedia.org/wiki/University_of_California,_San_Francisco"
"Santa Barbara","University Of California, Santa Barbara","https://en.wikipedia.org/wiki/Santa_Barbara,_California","https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara"
"Santa Cruz","University Of California, Santa Cruz","https://en.wikipedia.org/wiki/Santa_Cruz,_California","https://en.wikipedia.org/wiki/University_of_California,_Santa_Cruz"
"Camerino","University Of Camerino","https://en.wikipedia.org/wiki/Camerino","https://en.wikipedia.org/wiki/University_of_Camerino"
"Cape Coast","University Of Cape Coast","https://en.wikipedia.org/w/index.php?title=Cape_Coast,_Central_Region&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Cape_Coast"
"Cassino","University Of Cassino","https://en.wikipedia.org/wiki/Cassino","https://en.wikipedia.org/wiki/University_of_Cassino"
"Cebu City","University Of Cebu","https://en.wikipedia.org/wiki/Cebu_City","https://en.wikipedia.org/wiki/Don_Bosco_Technical_College-Cebu,_Inc."
"Conway","University Of Central Arkansas","https://en.wikipedia.org/wiki/Conway,_Arkansas","https://en.wikipedia.org/wiki/University_of_Central_Arkansas"
"John C. Hitt , President","University Of Central Florida","","https://en.wikipedia.org/wiki/University_of_Central_Florida"
"Warrensburg","University Of Central Missouri","https://en.wikipedia.org/wiki/Warrensburg,_Missouri","https://en.wikipedia.org/wiki/University_of_Central_Missouri"
"Edmond","University Of Central Oklahoma","https://en.wikipedia.org/wiki/Edmond,_Oklahoma","https://en.wikipedia.org/wiki/University_of_Central_Oklahoma"
"Charleston","University Of Charleston","","https://en.wikipedia.org/wiki/University_of_Charleston"
"Chicago","University Of Chicago","","https://en.wikipedia.org/wiki/University_of_Chicago"
"Chinandega","University Of Chinandega Universidad De Chinandega","",""
"Cincinnati","University Of Cincinnati","","https://en.wikipedia.org/wiki/University_of_Cincinnati"
"Boulder","University Of Colorado","","https://en.wikipedia.org/wiki/University_of_Colorado_Boulder"
"Boulder","University Of Colorado At Boulder","https://en.wikipedia.org/wiki/Boulder,_Colorado","https://en.wikipedia.org/wiki/University_of_Colorado_at_Boulder"
"Boulder","University Of Colorado Boulder","","https://en.wikipedia.org/wiki/University_of_Colorado_Boulder"
"Colorado Springs","University Of Colorado Colorado Springs","","https://en.wikipedia.org/wiki/University_of_Colorado_Colorado_Springs"
"Denver and Aurora","University Of Colorado Denver","","https://en.wikipedia.org/wiki/University_of_Colorado_Denver"
"Denver","University Of Colorado Denver/Anschutz Medical Campus","","https://en.wikipedia.org/wiki/Anschutz_Medical_Campus"
"Bruce D. Benson , President University of Colorado Boulder – Phil DiStefano, Chancellor University of Colorado Colorado Springs – Venkat Reddy, Chancellor University of Colorado Denver – Dorothy Horrell, Chancellor","University Of Colorado System","","https://en.wikipedia.org/wiki/University_of_Colorado_System"
"Managua , León","University Of Commercial Sciences Universidad De Ciencias Comerciales","",""
"Stamford","University Of Connecticut","https://en.wikipedia.org/wiki/Stamford,_Connecticut","https://en.wikipedia.org/wiki/University_of_Connecticut"
"Corte, Haute-Corse","University Of Corsica Pasquale Paoli","https://en.wikipedia.org/wiki/Corte,_Haute-Corse","https://en.wikipedia.org/wiki/University_of_Corsica_Pasquale_Paoli"
"Irving","University Of Dallas","https://en.wikipedia.org/wiki/Irving,_Texas","https://en.wikipedia.org/wiki/University_of_Dallas"
"Dayton","University Of Dayton","https://en.wikipedia.org/wiki/Dayton,_Ohio","https://en.wikipedia.org/wiki/University_of_Dayton"
"Dayton, Ohio","University Of Dayton School Of Engineering","",""
"Dayton, Ohio","University Of Dayton School Of Law","","https://en.wikipedia.org/wiki/University_of_Dayton_School_of_Law"
"Newark","University Of Delaware","https://en.wikipedia.org/wiki/Newark,_Delaware","https://en.wikipedia.org/wiki/University_of_Delaware"
"Denver","University Of Denver","","https://en.wikipedia.org/wiki/University_of_Denver"
"Detroit, Michigan","University Of Detroit Mercy","","https://en.wikipedia.org/wiki/University_of_Detroit_Mercy"
"Detroit, Michigan","University Of Detroit Mercy College Of Engineering And Science","",""
"Detroit, Michigan","University Of Detroit Mercy School Of Dentistry","","https://en.wikipedia.org/wiki/University_of_Detroit_Mercy_School_of_Dentistry"
"Tamale","University Of Development Studies","https://en.wikipedia.org/w/index.php?title=Tamale,_Northern_Region&action=edit&redlink=1","https://en.wikipedia.org/w/index.php?title=University_of_Development_Studies&action=edit&redlink=1"
"Dubuque","University Of Dubuque","","https://en.wikipedia.org/wiki/University_of_Dubuque"
"Duisburg","University Of Duisburg-Essen","https://en.wikipedia.org/wiki/Duisburg","https://en.wikipedia.org/wiki/University_of_Duisburg-Essen"
"Dundee","University Of Dundee","https://en.wikipedia.org/wiki/Dundee","https://en.wikipedia.org/wiki/University_of_Dundee"
"Vercelli","University Of Eastern Piedmont","https://en.wikipedia.org/wiki/Vercelli","https://en.wikipedia.org/wiki/University_of_Eastern_Piedmont"
"Winneba","University Of Education, Winneba","https://en.wikipedia.org/w/index.php?title=Winneba,_Central_Region&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Education,_Winneba"
"Erfurt","University Of Erfurt","https://en.wikipedia.org/wiki/Erfurt","https://en.wikipedia.org/wiki/University_of_Erfurt"
"Erlangen","University Of Erlangen-Nuremberg","https://en.wikipedia.org/wiki/Erlangen","https://en.wikipedia.org/wiki/University_of_Erlangen-Nuremberg"
"Evansville","University Of Evansville","","https://en.wikipedia.org/wiki/University_of_Evansville"
"Vienna","University Of Fairfax","","https://en.wikipedia.org/wiki/University_of_Fairfax"
"Ferrara","University Of Ferrara","https://en.wikipedia.org/wiki/Ferrara","https://en.wikipedia.org/wiki/University_of_Ferrara"
"Findlay","University Of Findlay","https://en.wikipedia.org/wiki/Findlay,_Ohio","https://en.wikipedia.org/wiki/University_of_Findlay"
"Flensburg","University Of Flensburg","https://en.wikipedia.org/wiki/Flensburg","https://en.wikipedia.org/wiki/University_of_Flensburg"
"Gainesville","University Of Florida","https://en.wikipedia.org/wiki/Gainesville,_Florida","https://en.wikipedia.org/wiki/University_of_Florida"
"Alice","University Of Fort Hare","https://en.wikipedia.org/wiki/Alice,_Eastern_Cape","https://en.wikipedia.org/wiki/University_of_Fort_Hare"
"Fredericton","University Of Fredericton","","https://en.wikipedia.org/wiki/University_of_Fredericton"
"Freiburg im Breisgau","University Of Freiburg","https://en.wikipedia.org/wiki/Freiburg_im_Breisgau","https://en.wikipedia.org/wiki/Hochschule_f%C3%BCr_Musik_Freiburg"
"Fribourg","University Of Fribourg","https://en.wikipedia.org/wiki/Fribourg","https://en.wikipedia.org/wiki/University_of_Fribourg"
"Gdańsk","University Of Gdańsk","https://en.wikipedia.org/wiki/Gda%C5%84sk","https://en.wikipedia.org/wiki/University_of_Gda%C5%84sk"
"Athens","University Of Georgia","https://en.wikipedia.org/wiki/Athens,_Georgia","https://en.wikipedia.org/wiki/University_of_Georgia"
"Legon","University Of Ghana","https://en.wikipedia.org/w/index.php?title=Legon,_Accra&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Ghana"
"Giessen","University Of Giessen","https://en.wikipedia.org/wiki/Giessen","https://en.wikipedia.org/wiki/University_of_Giessen"
"Great Falls","University Of Great Falls","https://en.wikipedia.org/wiki/Great_Falls,_Montana","https://en.wikipedia.org/wiki/University_of_Great_Falls"
"Greifswald","University Of Greifswald","https://en.wikipedia.org/wiki/Greifswald","https://en.wikipedia.org/wiki/University_of_Greifswald"
"Groningen","University Of Groningen","https://en.wikipedia.org/wiki/Groningen","https://en.wikipedia.org/wiki/University_of_Groningen"
"Mangilao","University Of Guam","","https://en.wikipedia.org/wiki/University_of_Guam"
"Guelph, Ontario","University Of Guelph","https://en.wikipedia.org/wiki/Guelph,_Ontario","https://en.wikipedia.org/wiki/University_of_Guelph"
"Göttingen","University Of Göttingen","https://en.wikipedia.org/wiki/G%C3%B6ttingen","https://en.wikipedia.org/wiki/University_of_G%C3%B6ttingen"
"Wittenberg","University Of Halle-Wittenberg","https://en.wikipedia.org/wiki/Wittenberg","https://en.wikipedia.org/wiki/University_of_Halle-Wittenberg"
"West Hartford","University Of Hartford","https://en.wikipedia.org/wiki/West_Hartford,_Connecticut","https://en.wikipedia.org/wiki/University_of_Hartford"
"Honolulu","University Of Hawaii At Manoa","","https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi_at_M%C4%81noa"
"David Lassner, President University of Hawaiʻi at Hilo – Donald O. Straney, Chancellor University of Hawaiʻi at Mānoa – Robert Bley-Vroman, Chancellor University of Hawaiʻi Maui College – Lui Hokoana, Chancellor","University Of HawaiʻI","","https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi"
"Hilo","University Of HawaiʻI At Hilo","","https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi_at_Hilo"
"Honolulu","University Of HawaiʻI At Mānoa","","https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi_at_M%C4%81noa"
"Kahului","University Of HawaiʻI Maui College","","https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi_Maui_College"
"Kapolei","University Of HawaiʻI – West OʻAhu","","https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi_%E2%80%93_West_O%CA%BBahu"
"Ho","University Of Health And Allied Sciences","https://en.wikipedia.org/w/index.php?title=Ho,_Volta_Region&action=edit&redlink=1","https://en.wikipedia.org/wiki/University_of_Health_and_Allied_Sciences"
"Somoto","University Of Health And Renewable Energy Universidad De Ciencias De La Salud Y Energía Renovables","",""
"St. Louis","University Of Health Sciences And Pharmacy In St. Louis","","https://en.wikipedia.org/wiki/University_of_Health_Sciences_and_Pharmacy_in_St._Louis"
"Heidelberg","University Of Heidelberg","https://en.wikipedia.org/wiki/Heidelberg","https://en.wikipedia.org/wiki/Schiller_International_University"
"Hildesheim","University Of Hildesheim","https://en.wikipedia.org/wiki/Hildesheim","https://en.wikipedia.org/wiki/University_of_Hildesheim"
"New Orleans","University Of Holy Cross","","https://en.wikipedia.org/wiki/Our_Lady_of_Holy_Cross_College"
"1927","University Of Houston","","https://en.wikipedia.org/wiki/University_of_Houston"
"Renu Khator , Chancellor University of Houston – Renu Khator , President University of Houston–Clear Lake – Ira K. Blake, President University of Houston–Downtown – Juan Sánchez Muñoz, President University of Houston–Victoria – Raymond V. Morgan, President","University Of Houston System","","https://en.wikipedia.org/wiki/University_of_Houston_System"
"Pasadena","University Of Houston–Clear Lake","https://en.wikipedia.org/wiki/Pasadena,_Texas","https://en.wikipedia.org/wiki/University_of_Houston%E2%80%93Clear_Lake"
"1974","University Of Houston–Downtown","","https://en.wikipedia.org/wiki/University_of_Houston%E2%80%93Downtown"
"1971","University Of Houston–Victoria","","https://en.wikipedia.org/wiki/University_of_Houston%E2%80%93Victoria"
"Managua , Jinotepe , Masaya , Juigalpa , Mateare , Rivas","University Of Humanistic Studies Universidad De Estudios Humanísticos","",""
"Moscow","University Of Idaho","https://en.wikipedia.org/wiki/Moscow,_Idaho","https://en.wikipedia.org/wiki/University_of_Idaho"
"Champaign–Urbana","University Of Illinois","https://en.wikipedia.org/wiki/Champaign%E2%80%93Urbana_metropolitan_area","https://en.wikipedia.org/wiki/University_of_Illinois"
"Javier Reyes, Interim Chancellor","University Of Illinois At Chicago","","https://en.wikipedia.org/wiki/University_of_Illinois_at_Chicago"
"Chicago","University Of Illinois Chicago","","https://en.wikipedia.org/wiki/University_of_Illinois_Chicago"
"Springfield","University Of Illinois Springfield","https://en.wikipedia.org/wiki/Springfield,_Illinois","https://en.wikipedia.org/wiki/University_of_Illinois_Springfield"
"$3,114","University Of Illinois System","","https://en.wikipedia.org/wiki/University_of_Illinois_system"
"Naperville","University Of Illinois Urbana-Champaign","https://en.wikipedia.org/wiki/Naperville,_Illinois","https://en.wikipedia.org/wiki/North_Central_College"
"Iloilo City","University Of Iloilo","https://en.wikipedia.org/wiki/Iloilo_City","https://en.wikipedia.org/wiki/Central_Philippine_University"
"Indianapolis","University Of Indianapolis","","https://en.wikipedia.org/wiki/University_of_Indianapolis"
"Innsbruck","University Of Innsbruck","https://en.wikipedia.org/wiki/Innsbruck","https://en.wikipedia.org/wiki/University_of_Innsbruck"
"Iowa City","University Of Iowa","https://en.wikipedia.org/wiki/Iowa_City,_Iowa","https://en.wikipedia.org/wiki/University_of_Iowa"
"Jamestown","University Of Jamestown","https://en.wikipedia.org/wiki/Jamestown,_North_Dakota","https://en.wikipedia.org/wiki/University_of_Jamestown"
"Jena","University Of Jena","https://en.wikipedia.org/wiki/Jena","https://en.wikipedia.org/wiki/University_of_Jena"
"Lawrence","University Of Kansas","https://en.wikipedia.org/wiki/Lawrence,_Kansas","https://en.wikipedia.org/wiki/University_of_Kansas"
"Kassel","University Of Kassel","https://en.wikipedia.org/wiki/Kassel","https://en.wikipedia.org/wiki/University_of_Kassel"
"$1.68 billion","University Of Kentucky","","https://en.wikipedia.org/wiki/University_of_Kentucky"
"Kiel","University Of Kiel","https://en.wikipedia.org/wiki/Kiel","https://en.wikipedia.org/wiki/University_of_Kiel"
"Halifax","University Of King'S College","","https://en.wikipedia.org/wiki/University_of_King%27s_College"
"Klagenfurt","University Of Klagenfurt","https://en.wikipedia.org/wiki/Klagenfurt","https://en.wikipedia.org/wiki/University_of_Klagenfurt"
"Koblenz","University Of Koblenz-Landau","https://en.wikipedia.org/wiki/Koblenz","https://en.wikipedia.org/wiki/University_of_Koblenz-Landau"
"Konstanz","University Of Konstanz","https://en.wikipedia.org/wiki/Konstanz","https://en.wikipedia.org/wiki/University_of_Konstanz"
"Pietermaritzburg","University Of Kwazulu-Natal","https://en.wikipedia.org/wiki/Pietermaritzburg","https://en.wikipedia.org/wiki/Durban_University_of_Technology"
"L'Aquila","University Of L'Aquila","https://en.wikipedia.org/wiki/L%27Aquila","https://en.wikipedia.org/wiki/University_of_L%27Aquila"
"La Verne","University Of La Verne","https://en.wikipedia.org/wiki/La_Verne,_California","https://en.wikipedia.org/wiki/University_of_La_Verne"
"Lausanne","University Of Lausanne","https://en.wikipedia.org/wiki/Lausanne","https://en.wikipedia.org/wiki/University_of_Lausanne"
"Leoben","University Of Leoben","https://en.wikipedia.org/wiki/Leoben","https://en.wikipedia.org/wiki/University_of_Leoben"
"Lethbridge , Edmonton , Calgary","University Of Lethbridge","","https://en.wikipedia.org/wiki/University_of_Lethbridge"
"Vaduz","University Of Liechtenstein","https://en.wikipedia.org/wiki/Vaduz","https://en.wikipedia.org/wiki/University_of_Liechtenstein"
"Limerick","University Of Limerick","https://en.wikipedia.org/wiki/Limerick","https://en.wikipedia.org/wiki/University_of_Limerick"
"Mankweng","University Of Limpopo","https://en.wikipedia.org/wiki/Mankweng","https://en.wikipedia.org/wiki/University_of_Limpopo"
"E. Joseph Savoie, President","University Of Louisiana At Lafayette","","https://en.wikipedia.org/wiki/University_of_Louisiana_at_Lafayette"
"Monroe","University Of Louisiana At Monroe","https://en.wikipedia.org/wiki/Monroe,_Louisiana","https://en.wikipedia.org/wiki/University_of_Louisiana_at_Monroe"
"Jim Henderson, President University of Louisiana at Lafayette – E. Joseph Savoie, President University of Louisiana at Monroe – Nick Bruno , President","University Of Louisiana System","","https://en.wikipedia.org/wiki/University_of_Louisiana_System"
